labels,sentences
1,John and Mary are cheerful .
1,John and Mary are contented .
1,John and Mary are delighted .
1,John and Mary are glad .
1,John and Mary are satisfied .
1,John and Mary are thrilled .
1,John and Mary are pleased .
0,John and Mary are unhappy .
0,John and Mary are bitter .
0,John and Mary are dismal .
0,John and Mary are heartbroken .
0,John and Mary are melancholy .
0,John and Mary are mournful .
0,John and Mary are somber .
0,John and Mary are sorrowful .
1,John and Bob are cheerful .
1,John and Bob are contented .
1,John and Bob are delighted .
1,John and Bob are glad .
1,John and Bob are satisfied .
1,John and Bob are thrilled .
1,John and Bob are pleased .
0,John and Bob are unhappy .
0,John and Bob are bitter .
0,John and Bob are dismal .
0,John and Bob are heartbroken .
0,John and Bob are melancholy .
0,John and Bob are mournful .
0,John and Bob are somber .
0,John and Bob are sorrowful .
1,John and Louis are cheerful .
1,John and Louis are contented .
1,John and Louis are delighted .
1,John and Louis are glad .
1,John and Louis are satisfied .
1,John and Louis are thrilled .
1,John and Louis are pleased .
0,John and Louis are unhappy .
0,John and Louis are bitter .
0,John and Louis are dismal .
0,John and Louis are heartbroken .
0,John and Louis are melancholy .
0,John and Louis are mournful .
0,John and Louis are somber .
0,John and Louis are sorrowful .
1,John and Igor are cheerful .
1,John and Igor are contented .
1,John and Igor are delighted .
1,John and Igor are glad .
1,John and Igor are satisfied .
1,John and Igor are thrilled .
1,John and Igor are pleased .
0,John and Igor are unhappy .
0,John and Igor are bitter .
0,John and Igor are dismal .
0,John and Igor are heartbroken .
0,John and Igor are melancholy .
0,John and Igor are mournful .
0,John and Igor are somber .
0,John and Igor are sorrowful .
1,John and Mike are cheerful .
1,John and Mike are contented .
1,John and Mike are delighted .
1,John and Mike are glad .
1,John and Mike are satisfied .
1,John and Mike are thrilled .
1,John and Mike are pleased .
0,John and Mike are unhappy .
0,John and Mike are bitter .
0,John and Mike are dismal .
0,John and Mike are heartbroken .
0,John and Mike are melancholy .
0,John and Mike are mournful .
0,John and Mike are somber .
0,John and Mike are sorrowful .
1,John and Patricia are cheerful .
1,John and Patricia are contented .
1,John and Patricia are delighted .
1,John and Patricia are glad .
1,John and Patricia are satisfied .
1,John and Patricia are thrilled .
1,John and Patricia are pleased .
0,John and Patricia are unhappy .
0,John and Patricia are bitter .
0,John and Patricia are dismal .
0,John and Patricia are heartbroken .
0,John and Patricia are melancholy .
0,John and Patricia are mournful .
0,John and Patricia are somber .
0,John and Patricia are sorrowful .
1,John and James are cheerful .
1,John and James are contented .
1,John and James are delighted .
1,John and James are glad .
1,John and James are satisfied .
1,John and James are thrilled .
1,John and James are pleased .
0,John and James are unhappy .
0,John and James are bitter .
0,John and James are dismal .
0,John and James are heartbroken .
0,John and James are melancholy .
0,John and James are mournful .
0,John and James are somber .
0,John and James are sorrowful .
1,John and Lisa are cheerful .
1,John and Lisa are contented .
1,John and Lisa are delighted .
1,John and Lisa are glad .
1,John and Lisa are satisfied .
1,John and Lisa are thrilled .
1,John and Lisa are pleased .
0,John and Lisa are unhappy .
0,John and Lisa are bitter .
0,John and Lisa are dismal .
0,John and Lisa are heartbroken .
0,John and Lisa are melancholy .
0,John and Lisa are mournful .
0,John and Lisa are somber .
0,John and Lisa are sorrowful .
1,John and Ashley are cheerful .
1,John and Ashley are contented .
1,John and Ashley are delighted .
1,John and Ashley are glad .
1,John and Ashley are satisfied .
1,John and Ashley are thrilled .
1,John and Ashley are pleased .
0,John and Ashley are unhappy .
0,John and Ashley are bitter .
0,John and Ashley are dismal .
0,John and Ashley are heartbroken .
0,John and Ashley are melancholy .
0,John and Ashley are mournful .
0,John and Ashley are somber .
0,John and Ashley are sorrowful .
1,John and Carol are cheerful .
1,John and Carol are contented .
1,John and Carol are delighted .
1,John and Carol are glad .
1,John and Carol are satisfied .
1,John and Carol are thrilled .
1,John and Carol are pleased .
0,John and Carol are unhappy .
0,John and Carol are bitter .
0,John and Carol are dismal .
0,John and Carol are heartbroken .
0,John and Carol are melancholy .
0,John and Carol are mournful .
0,John and Carol are somber .
0,John and Carol are sorrowful .
1,John and Brenda are cheerful .
1,John and Brenda are contented .
1,John and Brenda are delighted .
1,John and Brenda are glad .
1,John and Brenda are satisfied .
1,John and Brenda are thrilled .
1,John and Brenda are pleased .
0,John and Brenda are unhappy .
0,John and Brenda are bitter .
0,John and Brenda are dismal .
0,John and Brenda are heartbroken .
0,John and Brenda are melancholy .
0,John and Brenda are mournful .
0,John and Brenda are somber .
0,John and Brenda are sorrowful .
1,Mary and John are cheerful .
1,Mary and John are contented .
1,Mary and John are delighted .
1,Mary and John are glad .
1,Mary and John are satisfied .
1,Mary and John are thrilled .
1,Mary and John are pleased .
0,Mary and John are unhappy .
0,Mary and John are bitter .
0,Mary and John are dismal .
0,Mary and John are heartbroken .
0,Mary and John are melancholy .
0,Mary and John are mournful .
0,Mary and John are somber .
0,Mary and John are sorrowful .
1,Mary and Bob are cheerful .
1,Mary and Bob are contented .
1,Mary and Bob are delighted .
1,Mary and Bob are glad .
1,Mary and Bob are satisfied .
1,Mary and Bob are thrilled .
1,Mary and Bob are pleased .
0,Mary and Bob are unhappy .
0,Mary and Bob are bitter .
0,Mary and Bob are dismal .
0,Mary and Bob are heartbroken .
0,Mary and Bob are melancholy .
0,Mary and Bob are mournful .
0,Mary and Bob are somber .
0,Mary and Bob are sorrowful .
1,Mary and Louis are cheerful .
1,Mary and Louis are contented .
1,Mary and Louis are delighted .
1,Mary and Louis are glad .
1,Mary and Louis are satisfied .
1,Mary and Louis are thrilled .
1,Mary and Louis are pleased .
0,Mary and Louis are unhappy .
0,Mary and Louis are bitter .
0,Mary and Louis are dismal .
0,Mary and Louis are heartbroken .
0,Mary and Louis are melancholy .
0,Mary and Louis are mournful .
0,Mary and Louis are somber .
0,Mary and Louis are sorrowful .
1,Mary and Igor are cheerful .
1,Mary and Igor are contented .
1,Mary and Igor are delighted .
1,Mary and Igor are glad .
1,Mary and Igor are satisfied .
1,Mary and Igor are thrilled .
1,Mary and Igor are pleased .
0,Mary and Igor are unhappy .
0,Mary and Igor are bitter .
0,Mary and Igor are dismal .
0,Mary and Igor are heartbroken .
0,Mary and Igor are melancholy .
0,Mary and Igor are mournful .
0,Mary and Igor are somber .
0,Mary and Igor are sorrowful .
1,Mary and Mike are cheerful .
1,Mary and Mike are contented .
1,Mary and Mike are delighted .
1,Mary and Mike are glad .
1,Mary and Mike are satisfied .
1,Mary and Mike are thrilled .
1,Mary and Mike are pleased .
0,Mary and Mike are unhappy .
0,Mary and Mike are bitter .
0,Mary and Mike are dismal .
0,Mary and Mike are heartbroken .
0,Mary and Mike are melancholy .
0,Mary and Mike are mournful .
0,Mary and Mike are somber .
0,Mary and Mike are sorrowful .
1,Mary and Patricia are cheerful .
1,Mary and Patricia are contented .
1,Mary and Patricia are delighted .
1,Mary and Patricia are glad .
1,Mary and Patricia are satisfied .
1,Mary and Patricia are thrilled .
1,Mary and Patricia are pleased .
0,Mary and Patricia are unhappy .
0,Mary and Patricia are bitter .
0,Mary and Patricia are dismal .
0,Mary and Patricia are heartbroken .
0,Mary and Patricia are melancholy .
0,Mary and Patricia are mournful .
0,Mary and Patricia are somber .
0,Mary and Patricia are sorrowful .
1,Mary and James are cheerful .
1,Mary and James are contented .
1,Mary and James are delighted .
1,Mary and James are glad .
1,Mary and James are satisfied .
1,Mary and James are thrilled .
1,Mary and James are pleased .
0,Mary and James are unhappy .
0,Mary and James are bitter .
0,Mary and James are dismal .
0,Mary and James are heartbroken .
0,Mary and James are melancholy .
0,Mary and James are mournful .
0,Mary and James are somber .
0,Mary and James are sorrowful .
1,Mary and Lisa are cheerful .
1,Mary and Lisa are contented .
1,Mary and Lisa are delighted .
1,Mary and Lisa are glad .
1,Mary and Lisa are satisfied .
1,Mary and Lisa are thrilled .
1,Mary and Lisa are pleased .
0,Mary and Lisa are unhappy .
0,Mary and Lisa are bitter .
0,Mary and Lisa are dismal .
0,Mary and Lisa are heartbroken .
0,Mary and Lisa are melancholy .
0,Mary and Lisa are mournful .
0,Mary and Lisa are somber .
0,Mary and Lisa are sorrowful .
1,Mary and Ashley are cheerful .
1,Mary and Ashley are contented .
1,Mary and Ashley are delighted .
1,Mary and Ashley are glad .
1,Mary and Ashley are satisfied .
1,Mary and Ashley are thrilled .
1,Mary and Ashley are pleased .
0,Mary and Ashley are unhappy .
0,Mary and Ashley are bitter .
0,Mary and Ashley are dismal .
0,Mary and Ashley are heartbroken .
0,Mary and Ashley are melancholy .
0,Mary and Ashley are mournful .
0,Mary and Ashley are somber .
0,Mary and Ashley are sorrowful .
1,Mary and Carol are cheerful .
1,Mary and Carol are contented .
1,Mary and Carol are delighted .
1,Mary and Carol are glad .
1,Mary and Carol are satisfied .
1,Mary and Carol are thrilled .
1,Mary and Carol are pleased .
0,Mary and Carol are unhappy .
0,Mary and Carol are bitter .
0,Mary and Carol are dismal .
0,Mary and Carol are heartbroken .
0,Mary and Carol are melancholy .
0,Mary and Carol are mournful .
0,Mary and Carol are somber .
0,Mary and Carol are sorrowful .
1,Mary and Brenda are cheerful .
1,Mary and Brenda are contented .
1,Mary and Brenda are delighted .
1,Mary and Brenda are glad .
1,Mary and Brenda are satisfied .
1,Mary and Brenda are thrilled .
1,Mary and Brenda are pleased .
0,Mary and Brenda are unhappy .
0,Mary and Brenda are bitter .
0,Mary and Brenda are dismal .
0,Mary and Brenda are heartbroken .
0,Mary and Brenda are melancholy .
0,Mary and Brenda are mournful .
0,Mary and Brenda are somber .
0,Mary and Brenda are sorrowful .
1,Bob and John are cheerful .
1,Bob and John are contented .
1,Bob and John are delighted .
1,Bob and John are glad .
1,Bob and John are satisfied .
1,Bob and John are thrilled .
1,Bob and John are pleased .
0,Bob and John are unhappy .
0,Bob and John are bitter .
0,Bob and John are dismal .
0,Bob and John are heartbroken .
0,Bob and John are melancholy .
0,Bob and John are mournful .
0,Bob and John are somber .
0,Bob and John are sorrowful .
1,Bob and Mary are cheerful .
1,Bob and Mary are contented .
1,Bob and Mary are delighted .
1,Bob and Mary are glad .
1,Bob and Mary are satisfied .
1,Bob and Mary are thrilled .
1,Bob and Mary are pleased .
0,Bob and Mary are unhappy .
0,Bob and Mary are bitter .
0,Bob and Mary are dismal .
0,Bob and Mary are heartbroken .
0,Bob and Mary are melancholy .
0,Bob and Mary are mournful .
0,Bob and Mary are somber .
0,Bob and Mary are sorrowful .
1,Bob and Louis are cheerful .
1,Bob and Louis are contented .
1,Bob and Louis are delighted .
1,Bob and Louis are glad .
1,Bob and Louis are satisfied .
1,Bob and Louis are thrilled .
1,Bob and Louis are pleased .
0,Bob and Louis are unhappy .
0,Bob and Louis are bitter .
0,Bob and Louis are dismal .
0,Bob and Louis are heartbroken .
0,Bob and Louis are melancholy .
0,Bob and Louis are mournful .
0,Bob and Louis are somber .
0,Bob and Louis are sorrowful .
1,Bob and Igor are cheerful .
1,Bob and Igor are contented .
1,Bob and Igor are delighted .
1,Bob and Igor are glad .
1,Bob and Igor are satisfied .
1,Bob and Igor are thrilled .
1,Bob and Igor are pleased .
0,Bob and Igor are unhappy .
0,Bob and Igor are bitter .
0,Bob and Igor are dismal .
0,Bob and Igor are heartbroken .
0,Bob and Igor are melancholy .
0,Bob and Igor are mournful .
0,Bob and Igor are somber .
0,Bob and Igor are sorrowful .
1,Bob and Mike are cheerful .
1,Bob and Mike are contented .
1,Bob and Mike are delighted .
1,Bob and Mike are glad .
1,Bob and Mike are satisfied .
1,Bob and Mike are thrilled .
1,Bob and Mike are pleased .
0,Bob and Mike are unhappy .
0,Bob and Mike are bitter .
0,Bob and Mike are dismal .
0,Bob and Mike are heartbroken .
0,Bob and Mike are melancholy .
0,Bob and Mike are mournful .
0,Bob and Mike are somber .
0,Bob and Mike are sorrowful .
1,Bob and Patricia are cheerful .
1,Bob and Patricia are contented .
1,Bob and Patricia are delighted .
1,Bob and Patricia are glad .
1,Bob and Patricia are satisfied .
1,Bob and Patricia are thrilled .
1,Bob and Patricia are pleased .
0,Bob and Patricia are unhappy .
0,Bob and Patricia are bitter .
0,Bob and Patricia are dismal .
0,Bob and Patricia are heartbroken .
0,Bob and Patricia are melancholy .
0,Bob and Patricia are mournful .
0,Bob and Patricia are somber .
0,Bob and Patricia are sorrowful .
1,Bob and James are cheerful .
1,Bob and James are contented .
1,Bob and James are delighted .
1,Bob and James are glad .
1,Bob and James are satisfied .
1,Bob and James are thrilled .
1,Bob and James are pleased .
0,Bob and James are unhappy .
0,Bob and James are bitter .
0,Bob and James are dismal .
0,Bob and James are heartbroken .
0,Bob and James are melancholy .
0,Bob and James are mournful .
0,Bob and James are somber .
0,Bob and James are sorrowful .
1,Bob and Lisa are cheerful .
1,Bob and Lisa are contented .
1,Bob and Lisa are delighted .
1,Bob and Lisa are glad .
1,Bob and Lisa are satisfied .
1,Bob and Lisa are thrilled .
1,Bob and Lisa are pleased .
0,Bob and Lisa are unhappy .
0,Bob and Lisa are bitter .
0,Bob and Lisa are dismal .
0,Bob and Lisa are heartbroken .
0,Bob and Lisa are melancholy .
0,Bob and Lisa are mournful .
0,Bob and Lisa are somber .
0,Bob and Lisa are sorrowful .
1,Bob and Ashley are cheerful .
1,Bob and Ashley are contented .
1,Bob and Ashley are delighted .
1,Bob and Ashley are glad .
1,Bob and Ashley are satisfied .
1,Bob and Ashley are thrilled .
1,Bob and Ashley are pleased .
0,Bob and Ashley are unhappy .
0,Bob and Ashley are bitter .
0,Bob and Ashley are dismal .
0,Bob and Ashley are heartbroken .
0,Bob and Ashley are melancholy .
0,Bob and Ashley are mournful .
0,Bob and Ashley are somber .
0,Bob and Ashley are sorrowful .
1,Bob and Carol are cheerful .
1,Bob and Carol are contented .
1,Bob and Carol are delighted .
1,Bob and Carol are glad .
1,Bob and Carol are satisfied .
1,Bob and Carol are thrilled .
1,Bob and Carol are pleased .
0,Bob and Carol are unhappy .
0,Bob and Carol are bitter .
0,Bob and Carol are dismal .
0,Bob and Carol are heartbroken .
0,Bob and Carol are melancholy .
0,Bob and Carol are mournful .
0,Bob and Carol are somber .
0,Bob and Carol are sorrowful .
1,Bob and Brenda are cheerful .
1,Bob and Brenda are contented .
1,Bob and Brenda are delighted .
1,Bob and Brenda are glad .
1,Bob and Brenda are satisfied .
1,Bob and Brenda are thrilled .
1,Bob and Brenda are pleased .
0,Bob and Brenda are unhappy .
0,Bob and Brenda are bitter .
0,Bob and Brenda are dismal .
0,Bob and Brenda are heartbroken .
0,Bob and Brenda are melancholy .
0,Bob and Brenda are mournful .
0,Bob and Brenda are somber .
0,Bob and Brenda are sorrowful .
1,Louis and John are cheerful .
1,Louis and John are contented .
1,Louis and John are delighted .
1,Louis and John are glad .
1,Louis and John are satisfied .
1,Louis and John are thrilled .
1,Louis and John are pleased .
0,Louis and John are unhappy .
0,Louis and John are bitter .
0,Louis and John are dismal .
0,Louis and John are heartbroken .
0,Louis and John are melancholy .
0,Louis and John are mournful .
0,Louis and John are somber .
0,Louis and John are sorrowful .
1,Louis and Mary are cheerful .
1,Louis and Mary are contented .
1,Louis and Mary are delighted .
1,Louis and Mary are glad .
1,Louis and Mary are satisfied .
1,Louis and Mary are thrilled .
1,Louis and Mary are pleased .
0,Louis and Mary are unhappy .
0,Louis and Mary are bitter .
0,Louis and Mary are dismal .
0,Louis and Mary are heartbroken .
0,Louis and Mary are melancholy .
0,Louis and Mary are mournful .
0,Louis and Mary are somber .
0,Louis and Mary are sorrowful .
1,Louis and Bob are cheerful .
1,Louis and Bob are contented .
1,Louis and Bob are delighted .
1,Louis and Bob are glad .
1,Louis and Bob are satisfied .
1,Louis and Bob are thrilled .
1,Louis and Bob are pleased .
0,Louis and Bob are unhappy .
0,Louis and Bob are bitter .
0,Louis and Bob are dismal .
0,Louis and Bob are heartbroken .
0,Louis and Bob are melancholy .
0,Louis and Bob are mournful .
0,Louis and Bob are somber .
0,Louis and Bob are sorrowful .
1,Louis and Igor are cheerful .
1,Louis and Igor are contented .
1,Louis and Igor are delighted .
1,Louis and Igor are glad .
1,Louis and Igor are satisfied .
1,Louis and Igor are thrilled .
1,Louis and Igor are pleased .
0,Louis and Igor are unhappy .
0,Louis and Igor are bitter .
0,Louis and Igor are dismal .
0,Louis and Igor are heartbroken .
0,Louis and Igor are melancholy .
0,Louis and Igor are mournful .
0,Louis and Igor are somber .
0,Louis and Igor are sorrowful .
1,Louis and Mike are cheerful .
1,Louis and Mike are contented .
1,Louis and Mike are delighted .
1,Louis and Mike are glad .
1,Louis and Mike are satisfied .
1,Louis and Mike are thrilled .
1,Louis and Mike are pleased .
0,Louis and Mike are unhappy .
0,Louis and Mike are bitter .
0,Louis and Mike are dismal .
0,Louis and Mike are heartbroken .
0,Louis and Mike are melancholy .
0,Louis and Mike are mournful .
0,Louis and Mike are somber .
0,Louis and Mike are sorrowful .
1,Louis and Patricia are cheerful .
1,Louis and Patricia are contented .
1,Louis and Patricia are delighted .
1,Louis and Patricia are glad .
1,Louis and Patricia are satisfied .
1,Louis and Patricia are thrilled .
1,Louis and Patricia are pleased .
0,Louis and Patricia are unhappy .
0,Louis and Patricia are bitter .
0,Louis and Patricia are dismal .
0,Louis and Patricia are heartbroken .
0,Louis and Patricia are melancholy .
0,Louis and Patricia are mournful .
0,Louis and Patricia are somber .
0,Louis and Patricia are sorrowful .
1,Louis and James are cheerful .
1,Louis and James are contented .
1,Louis and James are delighted .
1,Louis and James are glad .
1,Louis and James are satisfied .
1,Louis and James are thrilled .
1,Louis and James are pleased .
0,Louis and James are unhappy .
0,Louis and James are bitter .
0,Louis and James are dismal .
0,Louis and James are heartbroken .
0,Louis and James are melancholy .
0,Louis and James are mournful .
0,Louis and James are somber .
0,Louis and James are sorrowful .
1,Louis and Lisa are cheerful .
1,Louis and Lisa are contented .
1,Louis and Lisa are delighted .
1,Louis and Lisa are glad .
1,Louis and Lisa are satisfied .
1,Louis and Lisa are thrilled .
1,Louis and Lisa are pleased .
0,Louis and Lisa are unhappy .
0,Louis and Lisa are bitter .
0,Louis and Lisa are dismal .
0,Louis and Lisa are heartbroken .
0,Louis and Lisa are melancholy .
0,Louis and Lisa are mournful .
0,Louis and Lisa are somber .
0,Louis and Lisa are sorrowful .
1,Louis and Ashley are cheerful .
1,Louis and Ashley are contented .
1,Louis and Ashley are delighted .
1,Louis and Ashley are glad .
1,Louis and Ashley are satisfied .
1,Louis and Ashley are thrilled .
1,Louis and Ashley are pleased .
0,Louis and Ashley are unhappy .
0,Louis and Ashley are bitter .
0,Louis and Ashley are dismal .
0,Louis and Ashley are heartbroken .
0,Louis and Ashley are melancholy .
0,Louis and Ashley are mournful .
0,Louis and Ashley are somber .
0,Louis and Ashley are sorrowful .
1,Louis and Carol are cheerful .
1,Louis and Carol are contented .
1,Louis and Carol are delighted .
1,Louis and Carol are glad .
1,Louis and Carol are satisfied .
1,Louis and Carol are thrilled .
1,Louis and Carol are pleased .
0,Louis and Carol are unhappy .
0,Louis and Carol are bitter .
0,Louis and Carol are dismal .
0,Louis and Carol are heartbroken .
0,Louis and Carol are melancholy .
0,Louis and Carol are mournful .
0,Louis and Carol are somber .
0,Louis and Carol are sorrowful .
1,Louis and Brenda are cheerful .
1,Louis and Brenda are contented .
1,Louis and Brenda are delighted .
1,Louis and Brenda are glad .
1,Louis and Brenda are satisfied .
1,Louis and Brenda are thrilled .
1,Louis and Brenda are pleased .
0,Louis and Brenda are unhappy .
0,Louis and Brenda are bitter .
0,Louis and Brenda are dismal .
0,Louis and Brenda are heartbroken .
0,Louis and Brenda are melancholy .
0,Louis and Brenda are mournful .
0,Louis and Brenda are somber .
0,Louis and Brenda are sorrowful .
1,Igor and John are cheerful .
1,Igor and John are contented .
1,Igor and John are delighted .
1,Igor and John are glad .
1,Igor and John are satisfied .
1,Igor and John are thrilled .
1,Igor and John are pleased .
0,Igor and John are unhappy .
0,Igor and John are bitter .
0,Igor and John are dismal .
0,Igor and John are heartbroken .
0,Igor and John are melancholy .
0,Igor and John are mournful .
0,Igor and John are somber .
0,Igor and John are sorrowful .
