labels,sentences
0,Lisa and John are unhappy .
0,Lisa and John are bitter .
0,Lisa and John are dismal .
0,Lisa and John are heartbroken .
0,Lisa and John are melancholy .
0,Lisa and John are mournful .
0,Lisa and John are somber .
0,Lisa and John are sorrowful .
1,Lisa and Mary are cheerful .
1,Lisa and Mary are contented .
1,Lisa and Mary are delighted .
1,Lisa and Mary are glad .
1,Lisa and Mary are satisfied .
1,Lisa and Mary are thrilled .
1,Lisa and Mary are pleased .
0,Lisa and Mary are unhappy .
0,Lisa and Mary are bitter .
0,Lisa and Mary are dismal .
0,Lisa and Mary are heartbroken .
0,Lisa and Mary are melancholy .
0,Lisa and Mary are mournful .
0,Lisa and Mary are somber .
0,Lisa and Mary are sorrowful .
1,Lisa and Bob are cheerful .
1,Lisa and Bob are contented .
1,Lisa and Bob are delighted .
1,Lisa and Bob are glad .
1,Lisa and Bob are satisfied .
1,Lisa and Bob are thrilled .
1,Lisa and Bob are pleased .
0,Lisa and Bob are unhappy .
0,Lisa and Bob are bitter .
0,Lisa and Bob are dismal .
0,Lisa and Bob are heartbroken .
0,Lisa and Bob are melancholy .
0,Lisa and Bob are mournful .
0,Lisa and Bob are somber .
0,Lisa and Bob are sorrowful .
1,Lisa and Louis are cheerful .
1,Lisa and Louis are contented .
1,Lisa and Louis are delighted .
1,Lisa and Louis are glad .
1,Lisa and Louis are satisfied .
1,Lisa and Louis are thrilled .
1,Lisa and Louis are pleased .
0,Lisa and Louis are unhappy .
0,Lisa and Louis are bitter .
0,Lisa and Louis are dismal .
0,Lisa and Louis are heartbroken .
0,Lisa and Louis are melancholy .
0,Lisa and Louis are mournful .
0,Lisa and Louis are somber .
0,Lisa and Louis are sorrowful .
1,Lisa and Igor are cheerful .
1,Lisa and Igor are contented .
1,Lisa and Igor are delighted .
1,Lisa and Igor are glad .
1,Lisa and Igor are satisfied .
1,Lisa and Igor are thrilled .
1,Lisa and Igor are pleased .
0,Lisa and Igor are unhappy .
0,Lisa and Igor are bitter .
0,Lisa and Igor are dismal .
0,Lisa and Igor are heartbroken .
0,Lisa and Igor are melancholy .
0,Lisa and Igor are mournful .
0,Lisa and Igor are somber .
0,Lisa and Igor are sorrowful .
1,Lisa and Mike are cheerful .
1,Lisa and Mike are contented .
1,Lisa and Mike are delighted .
1,Lisa and Mike are glad .
1,Lisa and Mike are satisfied .
1,Lisa and Mike are thrilled .
1,Lisa and Mike are pleased .
0,Lisa and Mike are unhappy .
0,Lisa and Mike are bitter .
0,Lisa and Mike are dismal .
0,Lisa and Mike are heartbroken .
0,Lisa and Mike are melancholy .
0,Lisa and Mike are mournful .
0,Lisa and Mike are somber .
0,Lisa and Mike are sorrowful .
1,Lisa and Patricia are cheerful .
1,Lisa and Patricia are contented .
1,Lisa and Patricia are delighted .
1,Lisa and Patricia are glad .
1,Lisa and Patricia are satisfied .
1,Lisa and Patricia are thrilled .
1,Lisa and Patricia are pleased .
0,Lisa and Patricia are unhappy .
0,Lisa and Patricia are bitter .
0,Lisa and Patricia are dismal .
0,Lisa and Patricia are heartbroken .
0,Lisa and Patricia are melancholy .
0,Lisa and Patricia are mournful .
0,Lisa and Patricia are somber .
0,Lisa and Patricia are sorrowful .
1,Lisa and James are cheerful .
1,Lisa and James are contented .
1,Lisa and James are delighted .
1,Lisa and James are glad .
1,Lisa and James are satisfied .
1,Lisa and James are thrilled .
1,Lisa and James are pleased .
0,Lisa and James are unhappy .
0,Lisa and James are bitter .
0,Lisa and James are dismal .
0,Lisa and James are heartbroken .
0,Lisa and James are melancholy .
0,Lisa and James are mournful .
0,Lisa and James are somber .
0,Lisa and James are sorrowful .
1,Lisa and Ashley are cheerful .
1,Lisa and Ashley are contented .
1,Lisa and Ashley are delighted .
1,Lisa and Ashley are glad .
1,Lisa and Ashley are satisfied .
1,Lisa and Ashley are thrilled .
1,Lisa and Ashley are pleased .
0,Lisa and Ashley are unhappy .
0,Lisa and Ashley are bitter .
0,Lisa and Ashley are dismal .
0,Lisa and Ashley are heartbroken .
0,Lisa and Ashley are melancholy .
0,Lisa and Ashley are mournful .
0,Lisa and Ashley are somber .
0,Lisa and Ashley are sorrowful .
1,Lisa and Carol are cheerful .
1,Lisa and Carol are contented .
1,Lisa and Carol are delighted .
1,Lisa and Carol are glad .
1,Lisa and Carol are satisfied .
1,Lisa and Carol are thrilled .
1,Lisa and Carol are pleased .
0,Lisa and Carol are unhappy .
0,Lisa and Carol are bitter .
0,Lisa and Carol are dismal .
0,Lisa and Carol are heartbroken .
0,Lisa and Carol are melancholy .
0,Lisa and Carol are mournful .
0,Lisa and Carol are somber .
0,Lisa and Carol are sorrowful .
1,Lisa and Brenda are cheerful .
1,Lisa and Brenda are contented .
1,Lisa and Brenda are delighted .
1,Lisa and Brenda are glad .
1,Lisa and Brenda are satisfied .
1,Lisa and Brenda are thrilled .
1,Lisa and Brenda are pleased .
0,Lisa and Brenda are unhappy .
0,Lisa and Brenda are bitter .
0,Lisa and Brenda are dismal .
0,Lisa and Brenda are heartbroken .
0,Lisa and Brenda are melancholy .
0,Lisa and Brenda are mournful .
0,Lisa and Brenda are somber .
0,Lisa and Brenda are sorrowful .
1,Ashley and John are cheerful .
1,Ashley and John are contented .
1,Ashley and John are delighted .
1,Ashley and John are glad .
1,Ashley and John are satisfied .
1,Ashley and John are thrilled .
1,Ashley and John are pleased .
0,Ashley and John are unhappy .
0,Ashley and John are bitter .
0,Ashley and John are dismal .
0,Ashley and John are heartbroken .
0,Ashley and John are melancholy .
0,Ashley and John are mournful .
0,Ashley and John are somber .
0,Ashley and John are sorrowful .
1,Ashley and Mary are cheerful .
1,Ashley and Mary are contented .
1,Ashley and Mary are delighted .
1,Ashley and Mary are glad .
1,Ashley and Mary are satisfied .
1,Ashley and Mary are thrilled .
1,Ashley and Mary are pleased .
0,Ashley and Mary are unhappy .
0,Ashley and Mary are bitter .
0,Ashley and Mary are dismal .
0,Ashley and Mary are heartbroken .
0,Ashley and Mary are melancholy .
0,Ashley and Mary are mournful .
0,Ashley and Mary are somber .
0,Ashley and Mary are sorrowful .
1,Ashley and Bob are cheerful .
1,Ashley and Bob are contented .
1,Ashley and Bob are delighted .
1,Ashley and Bob are glad .
1,Ashley and Bob are satisfied .
1,Ashley and Bob are thrilled .
1,Ashley and Bob are pleased .
0,Ashley and Bob are unhappy .
0,Ashley and Bob are bitter .
0,Ashley and Bob are dismal .
0,Ashley and Bob are heartbroken .
0,Ashley and Bob are melancholy .
0,Ashley and Bob are mournful .
0,Ashley and Bob are somber .
0,Ashley and Bob are sorrowful .
1,Ashley and Louis are cheerful .
1,Ashley and Louis are contented .
1,Ashley and Louis are delighted .
1,Ashley and Louis are glad .
1,Ashley and Louis are satisfied .
1,Ashley and Louis are thrilled .
1,Ashley and Louis are pleased .
0,Ashley and Louis are unhappy .
0,Ashley and Louis are bitter .
0,Ashley and Louis are dismal .
0,Ashley and Louis are heartbroken .
0,Ashley and Louis are melancholy .
0,Ashley and Louis are mournful .
0,Ashley and Louis are somber .
0,Ashley and Louis are sorrowful .
1,Ashley and Igor are cheerful .
1,Ashley and Igor are contented .
1,Ashley and Igor are delighted .
1,Ashley and Igor are glad .
1,Ashley and Igor are satisfied .
1,Ashley and Igor are thrilled .
1,Ashley and Igor are pleased .
0,Ashley and Igor are unhappy .
0,Ashley and Igor are bitter .
0,Ashley and Igor are dismal .
0,Ashley and Igor are heartbroken .
0,Ashley and Igor are melancholy .
0,Ashley and Igor are mournful .
0,Ashley and Igor are somber .
0,Ashley and Igor are sorrowful .
1,Ashley and Mike are cheerful .
1,Ashley and Mike are contented .
1,Ashley and Mike are delighted .
1,Ashley and Mike are glad .
1,Ashley and Mike are satisfied .
1,Ashley and Mike are thrilled .
1,Ashley and Mike are pleased .
0,Ashley and Mike are unhappy .
0,Ashley and Mike are bitter .
0,Ashley and Mike are dismal .
0,Ashley and Mike are heartbroken .
0,Ashley and Mike are melancholy .
0,Ashley and Mike are mournful .
0,Ashley and Mike are somber .
0,Ashley and Mike are sorrowful .
1,Ashley and Patricia are cheerful .
1,Ashley and Patricia are contented .
1,Ashley and Patricia are delighted .
1,Ashley and Patricia are glad .
1,Ashley and Patricia are satisfied .
1,Ashley and Patricia are thrilled .
1,Ashley and Patricia are pleased .
0,Ashley and Patricia are unhappy .
0,Ashley and Patricia are bitter .
0,Ashley and Patricia are dismal .
0,Ashley and Patricia are heartbroken .
0,Ashley and Patricia are melancholy .
0,Ashley and Patricia are mournful .
0,Ashley and Patricia are somber .
0,Ashley and Patricia are sorrowful .
1,Ashley and James are cheerful .
1,Ashley and James are contented .
1,Ashley and James are delighted .
1,Ashley and James are glad .
1,Ashley and James are satisfied .
1,Ashley and James are thrilled .
1,Ashley and James are pleased .
0,Ashley and James are unhappy .
0,Ashley and James are bitter .
0,Ashley and James are dismal .
0,Ashley and James are heartbroken .
0,Ashley and James are melancholy .
0,Ashley and James are mournful .
0,Ashley and James are somber .
0,Ashley and James are sorrowful .
1,Ashley and Lisa are cheerful .
1,Ashley and Lisa are contented .
1,Ashley and Lisa are delighted .
1,Ashley and Lisa are glad .
1,Ashley and Lisa are satisfied .
1,Ashley and Lisa are thrilled .
1,Ashley and Lisa are pleased .
0,Ashley and Lisa are unhappy .
0,Ashley and Lisa are bitter .
0,Ashley and Lisa are dismal .
0,Ashley and Lisa are heartbroken .
0,Ashley and Lisa are melancholy .
0,Ashley and Lisa are mournful .
0,Ashley and Lisa are somber .
0,Ashley and Lisa are sorrowful .
1,Ashley and Carol are cheerful .
1,Ashley and Carol are contented .
1,Ashley and Carol are delighted .
1,Ashley and Carol are glad .
1,Ashley and Carol are satisfied .
1,Ashley and Carol are thrilled .
1,Ashley and Carol are pleased .
0,Ashley and Carol are unhappy .
0,Ashley and Carol are bitter .
0,Ashley and Carol are dismal .
0,Ashley and Carol are heartbroken .
0,Ashley and Carol are melancholy .
0,Ashley and Carol are mournful .
0,Ashley and Carol are somber .
0,Ashley and Carol are sorrowful .
1,Ashley and Brenda are cheerful .
1,Ashley and Brenda are contented .
1,Ashley and Brenda are delighted .
1,Ashley and Brenda are glad .
1,Ashley and Brenda are satisfied .
1,Ashley and Brenda are thrilled .
1,Ashley and Brenda are pleased .
0,Ashley and Brenda are unhappy .
0,Ashley and Brenda are bitter .
0,Ashley and Brenda are dismal .
0,Ashley and Brenda are heartbroken .
0,Ashley and Brenda are melancholy .
0,Ashley and Brenda are mournful .
0,Ashley and Brenda are somber .
0,Ashley and Brenda are sorrowful .
1,Carol and John are cheerful .
1,Carol and John are contented .
1,Carol and John are delighted .
1,Carol and John are glad .
1,Carol and John are satisfied .
1,Carol and John are thrilled .
1,Carol and John are pleased .
0,Carol and John are unhappy .
0,Carol and John are bitter .
0,Carol and John are dismal .
0,Carol and John are heartbroken .
0,Carol and John are melancholy .
0,Carol and John are mournful .
0,Carol and John are somber .
0,Carol and John are sorrowful .
1,Carol and Mary are cheerful .
1,Carol and Mary are contented .
1,Carol and Mary are delighted .
1,Carol and Mary are glad .
1,Carol and Mary are satisfied .
1,Carol and Mary are thrilled .
1,Carol and Mary are pleased .
0,Carol and Mary are unhappy .
0,Carol and Mary are bitter .
0,Carol and Mary are dismal .
0,Carol and Mary are heartbroken .
0,Carol and Mary are melancholy .
0,Carol and Mary are mournful .
0,Carol and Mary are somber .
0,Carol and Mary are sorrowful .
1,Carol and Bob are cheerful .
1,Carol and Bob are contented .
1,Carol and Bob are delighted .
1,Carol and Bob are glad .
1,Carol and Bob are satisfied .
1,Carol and Bob are thrilled .
1,Carol and Bob are pleased .
0,Carol and Bob are unhappy .
0,Carol and Bob are bitter .
0,Carol and Bob are dismal .
0,Carol and Bob are heartbroken .
0,Carol and Bob are melancholy .
0,Carol and Bob are mournful .
0,Carol and Bob are somber .
0,Carol and Bob are sorrowful .
1,Carol and Louis are cheerful .
1,Carol and Louis are contented .
1,Carol and Louis are delighted .
1,Carol and Louis are glad .
1,Carol and Louis are satisfied .
1,Carol and Louis are thrilled .
1,Carol and Louis are pleased .
0,Carol and Louis are unhappy .
0,Carol and Louis are bitter .
0,Carol and Louis are dismal .
0,Carol and Louis are heartbroken .
0,Carol and Louis are melancholy .
0,Carol and Louis are mournful .
0,Carol and Louis are somber .
0,Carol and Louis are sorrowful .
1,Carol and Igor are cheerful .
1,Carol and Igor are contented .
1,Carol and Igor are delighted .
1,Carol and Igor are glad .
1,Carol and Igor are satisfied .
1,Carol and Igor are thrilled .
1,Carol and Igor are pleased .
0,Carol and Igor are unhappy .
0,Carol and Igor are bitter .
0,Carol and Igor are dismal .
0,Carol and Igor are heartbroken .
0,Carol and Igor are melancholy .
0,Carol and Igor are mournful .
0,Carol and Igor are somber .
0,Carol and Igor are sorrowful .
1,Carol and Mike are cheerful .
1,Carol and Mike are contented .
1,Carol and Mike are delighted .
1,Carol and Mike are glad .
1,Carol and Mike are satisfied .
1,Carol and Mike are thrilled .
1,Carol and Mike are pleased .
0,Carol and Mike are unhappy .
0,Carol and Mike are bitter .
0,Carol and Mike are dismal .
0,Carol and Mike are heartbroken .
0,Carol and Mike are melancholy .
0,Carol and Mike are mournful .
0,Carol and Mike are somber .
0,Carol and Mike are sorrowful .
1,Carol and Patricia are cheerful .
1,Carol and Patricia are contented .
1,Carol and Patricia are delighted .
1,Carol and Patricia are glad .
1,Carol and Patricia are satisfied .
1,Carol and Patricia are thrilled .
1,Carol and Patricia are pleased .
0,Carol and Patricia are unhappy .
0,Carol and Patricia are bitter .
0,Carol and Patricia are dismal .
0,Carol and Patricia are heartbroken .
0,Carol and Patricia are melancholy .
0,Carol and Patricia are mournful .
0,Carol and Patricia are somber .
0,Carol and Patricia are sorrowful .
1,Carol and James are cheerful .
1,Carol and James are contented .
1,Carol and James are delighted .
1,Carol and James are glad .
1,Carol and James are satisfied .
1,Carol and James are thrilled .
1,Carol and James are pleased .
0,Carol and James are unhappy .
0,Carol and James are bitter .
0,Carol and James are dismal .
0,Carol and James are heartbroken .
0,Carol and James are melancholy .
0,Carol and James are mournful .
0,Carol and James are somber .
0,Carol and James are sorrowful .
1,Carol and Lisa are cheerful .
1,Carol and Lisa are contented .
1,Carol and Lisa are delighted .
1,Carol and Lisa are glad .
1,Carol and Lisa are satisfied .
1,Carol and Lisa are thrilled .
1,Carol and Lisa are pleased .
0,Carol and Lisa are unhappy .
0,Carol and Lisa are bitter .
0,Carol and Lisa are dismal .
0,Carol and Lisa are heartbroken .
0,Carol and Lisa are melancholy .
0,Carol and Lisa are mournful .
0,Carol and Lisa are somber .
0,Carol and Lisa are sorrowful .
1,Carol and Ashley are cheerful .
1,Carol and Ashley are contented .
1,Carol and Ashley are delighted .
1,Carol and Ashley are glad .
1,Carol and Ashley are satisfied .
1,Carol and Ashley are thrilled .
1,Carol and Ashley are pleased .
0,Carol and Ashley are unhappy .
0,Carol and Ashley are bitter .
0,Carol and Ashley are dismal .
0,Carol and Ashley are heartbroken .
0,Carol and Ashley are melancholy .
0,Carol and Ashley are mournful .
0,Carol and Ashley are somber .
0,Carol and Ashley are sorrowful .
1,Carol and Brenda are cheerful .
1,Carol and Brenda are contented .
1,Carol and Brenda are delighted .
1,Carol and Brenda are glad .
1,Carol and Brenda are satisfied .
1,Carol and Brenda are thrilled .
1,Carol and Brenda are pleased .
0,Carol and Brenda are unhappy .
0,Carol and Brenda are bitter .
0,Carol and Brenda are dismal .
0,Carol and Brenda are heartbroken .
0,Carol and Brenda are melancholy .
0,Carol and Brenda are mournful .
0,Carol and Brenda are somber .
0,Carol and Brenda are sorrowful .
1,Brenda and John are cheerful .
1,Brenda and John are contented .
1,Brenda and John are delighted .
1,Brenda and John are glad .
1,Brenda and John are satisfied .
1,Brenda and John are thrilled .
1,Brenda and John are pleased .
0,Brenda and John are unhappy .
0,Brenda and John are bitter .
0,Brenda and John are dismal .
0,Brenda and John are heartbroken .
0,Brenda and John are melancholy .
0,Brenda and John are mournful .
0,Brenda and John are somber .
0,Brenda and John are sorrowful .
1,Brenda and Mary are cheerful .
1,Brenda and Mary are contented .
1,Brenda and Mary are delighted .
1,Brenda and Mary are glad .
1,Brenda and Mary are satisfied .
1,Brenda and Mary are thrilled .
1,Brenda and Mary are pleased .
0,Brenda and Mary are unhappy .
0,Brenda and Mary are bitter .
0,Brenda and Mary are dismal .
0,Brenda and Mary are heartbroken .
0,Brenda and Mary are melancholy .
0,Brenda and Mary are mournful .
0,Brenda and Mary are somber .
0,Brenda and Mary are sorrowful .
1,Brenda and Bob are cheerful .
1,Brenda and Bob are contented .
1,Brenda and Bob are delighted .
1,Brenda and Bob are glad .
1,Brenda and Bob are satisfied .
1,Brenda and Bob are thrilled .
1,Brenda and Bob are pleased .
0,Brenda and Bob are unhappy .
0,Brenda and Bob are bitter .
0,Brenda and Bob are dismal .
0,Brenda and Bob are heartbroken .
0,Brenda and Bob are melancholy .
0,Brenda and Bob are mournful .
0,Brenda and Bob are somber .
0,Brenda and Bob are sorrowful .
1,Brenda and Louis are cheerful .
1,Brenda and Louis are contented .
1,Brenda and Louis are delighted .
1,Brenda and Louis are glad .
1,Brenda and Louis are satisfied .
1,Brenda and Louis are thrilled .
1,Brenda and Louis are pleased .
0,Brenda and Louis are unhappy .
0,Brenda and Louis are bitter .
0,Brenda and Louis are dismal .
0,Brenda and Louis are heartbroken .
0,Brenda and Louis are melancholy .
0,Brenda and Louis are mournful .
0,Brenda and Louis are somber .
0,Brenda and Louis are sorrowful .
1,Brenda and Igor are cheerful .
1,Brenda and Igor are contented .
1,Brenda and Igor are delighted .
1,Brenda and Igor are glad .
1,Brenda and Igor are satisfied .
1,Brenda and Igor are thrilled .
1,Brenda and Igor are pleased .
0,Brenda and Igor are unhappy .
0,Brenda and Igor are bitter .
0,Brenda and Igor are dismal .
0,Brenda and Igor are heartbroken .
0,Brenda and Igor are melancholy .
0,Brenda and Igor are mournful .
0,Brenda and Igor are somber .
0,Brenda and Igor are sorrowful .
1,Brenda and Mike are cheerful .
1,Brenda and Mike are contented .
1,Brenda and Mike are delighted .
1,Brenda and Mike are glad .
1,Brenda and Mike are satisfied .
1,Brenda and Mike are thrilled .
1,Brenda and Mike are pleased .
0,Brenda and Mike are unhappy .
0,Brenda and Mike are bitter .
0,Brenda and Mike are dismal .
0,Brenda and Mike are heartbroken .
0,Brenda and Mike are melancholy .
0,Brenda and Mike are mournful .
0,Brenda and Mike are somber .
0,Brenda and Mike are sorrowful .
1,Brenda and Patricia are cheerful .
1,Brenda and Patricia are contented .
1,Brenda and Patricia are delighted .
1,Brenda and Patricia are glad .
1,Brenda and Patricia are satisfied .
1,Brenda and Patricia are thrilled .
1,Brenda and Patricia are pleased .
0,Brenda and Patricia are unhappy .
0,Brenda and Patricia are bitter .
0,Brenda and Patricia are dismal .
0,Brenda and Patricia are heartbroken .
0,Brenda and Patricia are melancholy .
0,Brenda and Patricia are mournful .
0,Brenda and Patricia are somber .
0,Brenda and Patricia are sorrowful .
1,Brenda and James are cheerful .
1,Brenda and James are contented .
1,Brenda and James are delighted .
1,Brenda and James are glad .
1,Brenda and James are satisfied .
1,Brenda and James are thrilled .
1,Brenda and James are pleased .
0,Brenda and James are unhappy .
0,Brenda and James are bitter .
0,Brenda and James are dismal .
0,Brenda and James are heartbroken .
0,Brenda and James are melancholy .
0,Brenda and James are mournful .
0,Brenda and James are somber .
0,Brenda and James are sorrowful .
1,Brenda and Lisa are cheerful .
1,Brenda and Lisa are contented .
1,Brenda and Lisa are delighted .
1,Brenda and Lisa are glad .
1,Brenda and Lisa are satisfied .
1,Brenda and Lisa are thrilled .
1,Brenda and Lisa are pleased .
0,Brenda and Lisa are unhappy .
0,Brenda and Lisa are bitter .
0,Brenda and Lisa are dismal .
0,Brenda and Lisa are heartbroken .
0,Brenda and Lisa are melancholy .
0,Brenda and Lisa are mournful .
0,Brenda and Lisa are somber .
0,Brenda and Lisa are sorrowful .
1,Brenda and Ashley are cheerful .
1,Brenda and Ashley are contented .
1,Brenda and Ashley are delighted .
1,Brenda and Ashley are glad .
1,Brenda and Ashley are satisfied .
1,Brenda and Ashley are thrilled .
1,Brenda and Ashley are pleased .
0,Brenda and Ashley are unhappy .
0,Brenda and Ashley are bitter .
0,Brenda and Ashley are dismal .
0,Brenda and Ashley are heartbroken .
0,Brenda and Ashley are melancholy .
0,Brenda and Ashley are mournful .
0,Brenda and Ashley are somber .
0,Brenda and Ashley are sorrowful .
1,Brenda and Carol are cheerful .
1,Brenda and Carol are contented .
1,Brenda and Carol are delighted .
1,Brenda and Carol are glad .
1,Brenda and Carol are satisfied .
1,Brenda and Carol are thrilled .
1,Brenda and Carol are pleased .
0,Brenda and Carol are unhappy .
0,Brenda and Carol are bitter .
0,Brenda and Carol are dismal .
0,Brenda and Carol are heartbroken .
0,Brenda and Carol are melancholy .
0,Brenda and Carol are mournful .
0,Brenda and Carol are somber .
0,Brenda and Carol are sorrowful .
